bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl2759034369,tt0076759,Star Wars: Episode IV - A New Hope (1977),Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,George Lucas,George Lucas,Gary Kurtz|Rick McCallum,Gilbert Taylor,Richard Chew|T.M. Christopher|Paul Hirsch|Marcia Lucas,John Barry,John Williams
rl3561784833,tt0075925,The Deep (1977),Jacqueline Bisset,Nick Nolte,Dick Anthony Williams,Robert Shaw,Peter Yates,Peter Benchley|Peter Benchley|Tracy Keenan Wynn,Peter Guber,Christopher Challis,David Berlatsky,Anthony Masters,John Barry
rl2004059649,tt0076752,The Spy Who Loved Me (1977),Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,Lewis Gilbert,Christopher Wood|Richard Maibaum|Ian Fleming,Albert R. Broccoli,Claude Renoir,John Glen,Ken Adam,Marvin Hamlisch
rl2137425409,tt0076489,"Oh, God! (1977)",John Denver,George Burns,Teri Garr,Donald Pleasence,Carl Reiner,Larry Gelbart|Avery Corman,Jerry Weintraub,Victor J. Kemper,Bud Molin,NONE,Jack Elliott
rl1582335489,tt0076009,Exorcist II: The Heretic (1977),Richard Burton,Linda Blair,Louise Fletcher,Max von Sydow,John Boorman|Rospo Pallenberg,William Goodhart|William Peter Blatty|Rospo Pallenberg,John Boorman|Richard Lederer,William A. Fraker,Tom Priestley,Richard Macdonald,Ennio Morricone
rl611747329,tt0076843,The Turning Point (1977),Anne Bancroft,Shirley MacLaine,Mikhail Baryshnikov,Tom Skerritt,Herbert Ross,Arthur Laurents,Arthur Laurents|Herbert Ross,Robert Surtees,William Reynolds,Albert Brenner,NONE
rl3093399041,tt0076327,Looking for Mr. Goodbar (1977),Diane Keaton,Richard Gere,Tuesday Weld,William Atherton,Richard Brooks,Judith Rossner|Richard Brooks,Freddie Fields,William A. Fraker,George Grenville,NONE,Artie Kane
rl2926544385,tt0076666,Saturday Night Fever (1977),John Travolta,Karen Lynn Gorney,Barry Miller,Joseph Cali,John Badham,Nik Cohn|Norman Wexler,Robert Stigwood,Ralf D. Bode,David Rawlins,Charles Bailey,Barry Gibb|Maurice Gibb|Robin Gibb
rl340428289,tt0075860,Close Encounters of the Third Kind (1977),Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,Steven Spielberg,Steven Spielberg|Hal Barwood|Jerry Belson|John Hill|Matthew Robbins,Julia Phillips|Michael Phillips,Vilmos Zsigmond,Michael Kahn,Joe Alves,John Williams
rl2052556289,tt0077631,Grease (1978),John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Randal Kleiser,Jim Jacobs|Warren Casey|Bronte Woodard|Allan Carr,Allan Carr|Robert Stigwood,Bill Butler,John F. Burnett,Philip M. Jefferies,NONE
rl994215425,tt0077975,National Lampoon's Animal House (1978),John Belushi,Karen Allen,Tom Hulce,Stephen Furst,John Landis,Harold Ramis|Douglas Kenney|Chris Miller,Ivan Reitman|Matty Simmons,Charles Correll,George Folsey Jr.,NONE,Elmer Bernstein
rl105940481,tt0077523,Every Which Way but Loose (1978),Clint Eastwood,Sondra Locke,Geoffrey Lewis,"""Beverly DAngelo""",James Fargo,Jeremy Joe Kronsberg,Robert Daley,Rexford L. Metz,Joel Cox|Ferris Webster,NONE,NONE
rl3629549057,tt0077663,Heaven Can Wait (1978),Warren Beatty,James Mason,Julie Christie,Jack Warden,Warren Beatty|Buck Henry,Elaine May|Warren Beatty|Harry Segall|Robert Towne,Warren Beatty,William A. Fraker,Robert C. Jones|Don Zimmerman,Paul Sylbert,Dave Grusin
rl3562702337,tt0077766,Jaws 2 (1978),Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo,Jeannot Szwarc,Peter Benchley|Carl Gottlieb|Howard Sackler,David Brown|Richard D. Zanuck,Michael C. Butler,Steve Potter|Arthur Schmidt|Neil Travis,Joe Alves,John Williams
rl4050814465,tt0078346,Superman (1978),Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando,Richard Donner,Jerry Siegel|Joe Shuster|Mario Puzo|Mario Puzo|David Newman|Leslie Newman|Robert Benton|Tom Mankiewicz,Pierre Spengler,Geoffrey Unsworth,Stuart Baird|Michael Ellis,John Barry,John Williams
rl4066477569,tt0077869,The Lord of the Rings (1978),Christopher Guard,William Squire,Michael Scholes,John Hurt,Ralph Bakshi,Chris Conkling|Peter S. Beagle|J.R.R. Tolkien,Saul Zaentz,Timothy Galfas,Donald W. Ernst|Peter Kirby,NONE,Leonard Rosenman
rl1583777281,tt0077394,Omen II: Damien (1978),William Holden,Lee Grant,Jonathan Scott-Taylor,Robert Foxworth,Don Taylor|Mike Hodges,Harvey Bernhard|David Seltzer|Stanley Mann|Mike Hodges,Harvey Bernhard,Bill Butler,Robert Brown,Fred Harpman|Philip M. Jefferies,Jerry Goldsmith
rl106595841,tt0077745,Invasion of the Body Snatchers (1978),Donald Sutherland,Brooke Adams,Jeff Goldblum,Veronica Cartwright,Philip Kaufman,W.D. Richter|Jack Finney,Robert H. Solo,Michael Chapman,Douglas Stewart,Charles Rosen,Denny Zeitlin
rl3544614401,tt0077272,Brass Target (1978),Sophia Loren,John Cassavetes,Max von Sydow,George Kennedy,John Hough,Frederick Nolan|Alvin Boretz,Arthur Lewis,Tony Imi,David Lane,Rolf Zehetbauer,Laurence Rosenthal
rl2202240513,tt0078767,The Amityville Horror (1979),James Brolin,Margot Kidder,Rod Steiger,Don Stroud,Stuart Rosenberg,Sandor Stern|Jay Anson|George Lutz|Kathy Lutz,Elliot Geisinger|Ronald Saland,Fred J. Koenekamp,Robert Brown,NONE,Lalo Schifrin
rl2993456641,tt0079817,Rocky II (1979),Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Sylvester Stallone,Sylvester Stallone,Robert Chartoff|Irwin Winkler,Bill Butler,Stanford C. Allen,NONE,Bill Conti
rl2977138177,tt0079945,Star Trek: The Motion Picture (1979),William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Robert Wise,Gene Roddenberry|Harold Livingston|Alan Dean Foster,David C. Fein|Gene Roddenberry,Richard H. Kline,Todd C. Ramsay,Harold Michelson,Jerry Goldsmith
rl3443557889,tt0078748,Alien (1979),Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Ridley Scott,"""Dan OBannon""|""Dan OBannon""|Ronald Shusett",Gordon Carroll|David Giler|Walter Hill,Derek Vanlint,David Crowther|Terry Rawlings|Peter Weatherley,Michael Seymour,Jerry Goldsmith
rl1816299009,tt0078788,Apocalypse Now (1979),Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Francis Ford Coppola,John Milius|Francis Ford Coppola|Michael Herr|Joseph Conrad,Kim Aubry|Francis Ford Coppola,Vittorio Storaro,Lisa Fruchtman|Gerald B. Greenberg|Walter Murch,Dean Tavoularis,Carmine Coppola|Francis Ford Coppola
rl960595457,tt0078721,10 (1979),Dudley Moore,Bo Derek,Julie Andrews,Robert Webber,Blake Edwards,Blake Edwards,Tony Adams|Blake Edwards,Frank Stanley,Ralph E. Winters,Rodger Maus,Henry Mancini
rl878544385,tt0079367,The Jerk (1979),Steve Martin,Bernadette Peters,Catlin Adams,Mabel King,Carl Reiner,Steve Martin|Carl Gottlieb|Michael Elias|Steve Martin|Carl Gottlieb,William E. McEuen|David V. Picker,Victor J. Kemper,Bud Molin|Ron Spang,Jack T. Collis,Jack Elliott
rl1516602881,tt0079574,Moonraker (1979),Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel,Lewis Gilbert,Christopher Wood|Ian Fleming|Gerry Anderson|Tony Barwick,Albert R. Broccoli,Jean Tournier,John Glen,Ken Adam,John Barry
rl3479406081,tt0079540,Meatballs (1979),Bill Murray,Harvey Atkin,Kate Lynch,Russ Banham,Ivan Reitman,Len Blum|Daniel Goldberg|Janis Allen|Harold Ramis,Daniel Goldberg,Donald Wilder,Debra Karen,NONE,Elmer Bernstein
rl3461449217,tt0079116,Escape from Alcatraz (1979),Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,Don Siegel,J. Campbell Bruce|Richard Tuggle,Don Siegel,Bruce Surtees,Ferris Webster,Allen E. Smith,Jerry Fielding
rl1046709761,tt0079522,Manhattan (1979),Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,Woody Allen,Woody Allen|Marshall Brickman,Charles H. Joffe,Gordon Willis,Susan E. Morse,Mel Bourne,NONE
rl390301185,tt0078754,All That Jazz (1979),Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,Bob Fosse,Robert Alan Aurthur|Bob Fosse,Robert Alan Aurthur,Giuseppe Rotunno,Alan Heim,Philip Rosenberg,NONE
rl2034337281,tt0078723,1941 (1979),John Belushi,Dan Aykroyd,Treat Williams,Nancy Allen,Steven Spielberg,Robert Zemeckis|Bob Gale|Robert Zemeckis|Bob Gale|John Milius,Buzz Feitshans,William A. Fraker,Michael Kahn,Dean Edward Mitzner,John Williams
rl3242755585,tt0078950,The Champ (1979),Jon Voight,Faye Dunaway,Ricky Schroder,Jack Warden,Franco Zeffirelli,Frances Marion|Walter Newman,Dyson Lovell,Fred J. Koenekamp,Michael J. Sheridan,Herman A. Blumenthal,Dave Grusin
rl4050421249,tt0079826,The Rose (1979),Bette Midler,Alan Bates,Frederic Forrest,Harry Dean Stanton,Mark Rydell,Bill Kerby|Bo Goldman|Bill Kerby|Michael Cimino|Marvin Worth,Aaron Russo|Marvin Worth,Vilmos Zsigmond,"""Carroll Timothy OMeara""|Robert L. Wolfe",Richard Macdonald,NONE
rl410551809,tt0080120,The Warriors (1979),Michael Beck,James Remar,Dorsey Wright,Brian Tyler,Walter Hill,Sol Yurick|David Shaber|Walter Hill,Laurent Bouzereau|Freeman A. Davies|Lawrence Gordon|Walter Hill,Andrew Laszlo,Freeman A. Davies|David Holden|Susan E. Morse|Billy Weber,NONE,Barry De Vorzon
rl2422703617,tt0079638,Norma Rae (1979),Sally Field,Beau Bridges,Ron Leibman,Pat Hingle,Martin Ritt,Irving Ravetch|Harriet Frank Jr.,Tamara Asseyev|Alexandra Rose,John A. Alonzo,Sidney Levin,Walter Scott Herndon,David Shire
rl3327952385,tt0077288,La Cage aux Folles (1978),Ugo Tognazzi,Michel Serrault,Claire Maurier,Rémi Laurent,Édouard Molinaro,Jean Poiret|Francis Veber|Édouard Molinaro|Marcello Danon|Jean Poiret,Marcello Danon,Armando Nannuzzi,Monique Isnardon|Robert Isnardon,NONE,Ennio Morricone
rl1565427201,tt0079073,Dracula (1979),Frank Langella,Laurence Olivier,Donald Pleasence,Kate Nelligan,John Badham,W.D. Richter|Hamilton Deane|John L. Balderston|Bram Stoker,Walter Mirisch,Gilbert Taylor,John Bloom,Peter Murton,John Williams
rl2908653057,tt0079470,Monty Python's Life of Brian (1979),Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Terry Jones,Graham Chapman|John Cleese|Terry Gilliam|Eric Idle|Terry Jones|Michael Palin,John Goldstone,Peter Biziou,Julian Doyle,Terry Gilliam,Geoffrey Burgon
rl2890499585,tt0077278,Buck Rogers in the 25th Century (1979),Gil Gerard,Erin Gray,Pamela Hensley,Henry Silva,Daniel Haller,Glen A. Larson|Leslie Stevens|Philip Francis Nowlan,Richard Caffey,Frank Beascoechea,John J. Dumas|David Howe|William Martin,NONE,Stu Phillips
