bom_id,imdb_id,title,domestic_gross,international_gross,worldwide_gross,distributor,opening,budget,mpaa,run_time,genres,in_release,widest_release
rl2759034369,tt0076759,Star Wars: Episode IV - A New Hope,307263857,195751992,503015849,Twentieth Century Fox,1554475.0,11000000.0,PG,121.0,Action|Adventure|Fantasy|Sci-Fi,951,1750.0
rl3561784833,tt0075925,The Deep,47346365,0,47346365,Columbia Pictures,6835540.0,,NONE,123.0,Adventure|Mystery|Thriller,198,731.0
rl2004059649,tt0076752,The Spy Who Loved Me,46838673,0,46838673,United Artists,,,NONE,125.0,Action|Adventure|Thriller,172,200.0
rl2137425409,tt0076489,"Oh, God!",41687243,0,41687243,Warner Bros.,2040920.0,,NONE,98.0,Comedy|Fantasy,86,198.0
rl1582335489,tt0076009,Exorcist II: The Heretic,30749142,0,30749142,Warner Bros.,6735000.0,,NONE,117.0,Horror,198,703.0
rl611747329,tt0076843,The Turning Point,25933445,0,25933445,Twentieth Century Fox,,,NONE,119.0,Drama|Romance,53,5.0
rl3093399041,tt0076327,Looking for Mr. Goodbar,22512655,0,22512655,Paramount Pictures,1540635.0,,NONE,136.0,Drama,74,110.0
rl2926544385,tt0076666,Saturday Night Fever,94213184,142900000,237113184,Paramount Pictures,3878099.0,,R,118.0,Drama|Music,381,726.0
rl340428289,tt0075860,Close Encounters of the Third Kind,116395460,171700000,288095460,Columbia Pictures,,20000000.0,NONE,138.0,Drama|Sci-Fi,411,650.0
rl2052556289,tt0077631,Grease,159978870,206200000,366178870,Paramount Pictures,8941717.0,6000000.0,PG,110.0,Musical|Romance,199,862.0
rl994215425,tt0077975,National Lampoon's Animal House,120091123,0,120091123,Universal Pictures,276538.0,,NONE,109.0,Comedy,157,12.0
rl105940481,tt0077523,Every Which Way but Loose,85196485,0,85196485,Warner Bros.,10272294.0,,NONE,114.0,Action|Comedy,16,1275.0
rl3629549057,tt0077663,Heaven Can Wait,81640278,0,81640278,Paramount Pictures,3652486.0,,NONE,101.0,Comedy|Fantasy|Romance|Sport,187,540.0
rl3562702337,tt0077766,Jaws 2,77737272,106118000,183855272,Universal Pictures,9866023.0,,NONE,116.0,Adventure|Horror|Thriller,199,640.0
rl4050814465,tt0078346,Superman,134218018,166000000,300218018,Warner Bros.,7465343.0,55000000.0,PG,143.0,Action|Adventure|Drama|Sci-Fi,382,817.0
rl4066477569,tt0077869,The Lord of the Rings,30471420,0,30471420,United Artists,626649.0,,NONE,132.0,Adventure|Animation|Fantasy,51,31.0
rl1583777281,tt0077394,Omen II: Damien,26518355,0,26518355,Twentieth Century Fox,3880880.0,,NONE,107.0,Horror,206,525.0
rl106595841,tt0077745,Invasion of the Body Snatchers,24946533,0,24946533,United Artists,1298129.0,,NONE,115.0,Horror|Sci-Fi,14,445.0
rl3544614401,tt0077272,Brass Target,5011158,0,5011158,Metro-Goldwyn-Mayer (MGM),354797.0,,NONE,111.0,Action|Drama|Mystery|Thriller|War,14,334.0
rl2202240513,tt0078767,The Amityville Horror,86432000,0,86432000,American International Pictures (AIP),7843467.0,,NONE,117.0,Horror,158,748.0
rl2993456641,tt0079817,Rocky II,85182160,0,85182160,United Artists,6390537.0,,NONE,119.0,Drama|Sport,200,780.0
rl2977138177,tt0079945,Star Trek: The Motion Picture,82258456,0,82258456,Paramount Pictures,11926421.0,35000000.0,G,132.0,Adventure|Mystery|Sci-Fi,28,1002.0
