bom_id,title,total_gross,theaters,release_date,year
rl2759034369,Star Wars: Episode IV - A New Hope,307263857,1750,1977-05-25,1977
rl3561784833,The Deep,47346365,731,1977-06-17,1977
rl2004059649,The Spy Who Loved Me,46838673,200,1977-07-13,1977
rl2137425409,"Oh, God!",41687243,198,1977-10-07,1977
rl1582335489,Exorcist II: The Heretic,30749142,703,1977-06-17,1977
rl611747329,The Turning Point,25933445,5,1977-11-14,1977
rl3093399041,Looking for Mr. Goodbar,22512655,110,1977-10-19,1977
rl2926544385,Saturday Night Fever,94213184,726,1977-12-16,1977
rl340428289,Close Encounters of the Third Kind,116395460,650,1977-11-16,1977
rl2052556289,Grease,159978870,862,1978-06-16,1978
rl994215425,National Lampoon's Animal House,120091123,12,1978-07-28,1978
rl105940481,Every Which Way but Loose,85196485,1275,1978-12-20,1978
rl3629549057,Heaven Can Wait,81640278,540,1978-06-28,1978
rl3562702337,Jaws 2,77737272,640,1978-06-16,1978
rl4050814465,Superman,134218018,817,1978-12-15,1978
rl4066477569,The Lord of the Rings,30471420,31,1978-11-15,1978
rl1583777281,Omen II: Damien,26518355,525,1978-06-09,1978
rl106595841,Invasion of the Body Snatchers,24946533,445,1978-12-22,1978
rl3544614401,Brass Target,5011158,334,1978-12-22,1978
rl2202240513,The Amityville Horror,86432000,748,1979-07-27,1979
rl2993456641,Rocky II,85182160,780,1979-06-15,1979
rl2977138177,Star Trek: The Motion Picture,82258456,1002,1979-12-07,1979
rl3443557889,Alien,78944891,757,1979-05-25,1979
rl1816299009,Apocalypse Now,78784010,3,1979-08-15,1979
rl960595457,10,74865517,706,1979-10-05,1979
rl878544385,The Jerk,73691419,525,1979-12-14,1979
rl1516602881,Moonraker,70308099,788,1979-06-29,1979
rl3479406081,Meatballs,43046003,7,1979-06-29,1979
rl3461449217,Escape from Alcatraz,43000000,815,1979-06-22,1979
rl1046709761,Manhattan,39946780,29,1979-04-25,1979
rl390301185,All That Jazz,37823676,5,1979-12-20,1979
rl2034337281,1941,31755742,325,1979-12-14,1979
rl3242755585,The Champ,30441738,563,1979-04-04,1979
rl4050421249,The Rose,29174648,44,1979-11-07,1979
rl410551809,The Warriors,22490039,551,1979-02-09,1979
rl2422703617,Norma Rae,22228000,48,1979-03-02,1979
rl3327952385,La Cage aux Folles,20424259,5,1979-03-30,1979
rl1565427201,Dracula,20158970,395,1979-07-20,1979
rl2908653057,Monty Python's Life of Brian,19398164,5,1979-08-17,1979
rl2890499585,Buck Rogers in the 25th Century,21671241,934,1979-03-30,1979
rl3477505537,Breaking Away,16424918,95,1979-07-13,1979
rl2691466753,Roller Boogie,13253715,478,1979-12-19,1979
rl1482130945,The Great Train Robbery,13027857,54,1979-02-02,1979
rl3999041025,Kramer vs. Kramer,106260000,898,1979-12-19,1979
rl1733527041,Fiddler on the Roof,10404330,456,1979-11-07,1979
rl743802369,The Frisco Kid,9346177,26,1979-07-13,1979
rl3931342337,The Fish That Saved Pittsburgh,8281246,1,1979-11-02,1979
rl3714811393,The Prisoner of Zenda,7650600,417,1979-05-25,1979
rl2219673089,Cuba,5610280,331,1979-12-21,1979
rl3645474305,Butch and Sundance: The Early Days,5136913,689,1979-06-15,1979
rl1666680321,The Great Santini,4702575,87,1979-10-26,1979
rl2304869889,Lost and Found,3223197,382,1979-06-22,1979
rl2658764289,Voices,2631244,2,1979-03-14,1979
rl946636289,Rich Kids,1856122,5,1979-08-17,1979
rl1113556481,Last Embrace,1537125,266,1979-05-02,1979
rl3983115777,The Passage,1101186,17,1979-03-09,1979
rl2775811585,Star Wars: Episode V - The Empire Strikes Back,209398025,1278,1980-05-21,1980
rl876643841,9 to 5,103290500,910,1980-12-19,1980
rl3312682497,Stir Crazy,101300000,813,1980-12-12,1980
rl1916962305,Any Which Way You Can,70687344,1541,1980-12-17,1980
rl3513484801,Private Benjamin,69847348,763,1980-10-10,1980
rl1883932161,Coal Miner's Daughter,67182787,437,1980-03-07,1980
rl460359169,Smokey and the Bandit II,66132626,1196,1980-08-15,1980
rl289834497,The Blues Brothers,57229890,594,1980-06-20,1980
rl3378939393,Ordinary People,54766923,6,1980-09-19,1980
rl2003535361,Popeye,49823037,901,1980-12-12,1980
rl3312354817,The Shining,44017374,10,1980-05-23,1980
rl2018215425,Cheech and Chong's Next Movie,41675194,814,1980-07-18,1980
rl3326707201,Caddyshack,39846344,656,1980-07-25,1980
rl3344074241,Friday the 13th,39754601,1100,1980-05-09,1980
rl3125380609,Brubaker,37121708,594,1980-06-20,1980
rl3411707393,The Jazz Singer,27118000,0,1980-12-19,1980
rl3461580289,Flash Gordon,27107960,823,1980-12-05,1980
rl1497990657,Bronco Billy,24265659,1321,1980-06-11,1980
rl4201285121,Raging Bull,23334953,180,1980-11-14,1980
rl1501201921,Xanadu,22762571,249,1980-08-08,1980
rl3091432961,American Gigolo,22743674,570,1980-02-01,1980
rl392463873,My Bodyguard,22482952,477,1980-07-11,1980
rl4283467265,Fame,21202829,3,1980-05-16,1980
rl1749255681,Altered States,19853892,3,1980-12-25,1980
rl1029211649,Honeysuckle Rose,17815212,826,1980-07-18,1980
rl1952024065,Hero at Large,15934737,486,1980-02-08,1980
rl1398900225,The Long Riders,15795189,759,1980-05-16,1980
rl1297778177,The Island,15716828,584,1980-06-13,1980
rl3395782145,The Nude Bomb,14662035,793,1980-05-09,1980
rl1885767169,"Oh, God! Book II",14504277,1033,1980-10-03,1980
rl2370471425,The Competition,14287755,6,1980-12-03,1980
rl2105247233,Wholly Moses!,14155617,608,1980-06-13,1980
