bom_id,title,total_gross,theaters,release_date,year
rl2759034369,Star Wars: Episode IV - A New Hope,"$307,263,857","1,750",May 25,1977
rl2926544385,Saturday Night Fever,"$94,213,184",726,Dec 16,1977
rl340428289,Close Encounters of the Third Kind,"$116,395,460",650,Nov 16,1977
rl2759034369,Star Wars: Episode IV - A New Hope,"$307,263,857","1,750",May 25,1978
rl4050814465,Superman,"$134,218,018",817,Dec 15,1978
rl3999041025,Kramer vs. Kramer,"$106,260,000",898,Dec 19,1979
rl4083844609,Raiders of the Lost Ark,"$212,222,025","1,078",Jun 12,1981
rl4185163265,Time Bandits,"$42,365,581",821,Nov 6,1981
rl4033119745,Neighbors,"$29,916,207","1,387",Dec 18,1981
rl1046840833,Modern Problems,"$26,154,211","1,119",Dec 25,1981
rl3983443457,Sharky's Machine,"$35,610,100","1,388",Dec 18,1981
rl356550145,Absence of Malice,"$40,716,963",994,Nov 20,1981
rl1399686657,Reds,"$40,382,659",644,Dec 4,1981
rl2621605377,Arthur,"$95,461,682",701,Jul 17,1981
rl2910160385,Taps,"$35,856,053",792,Dec 9,1981
rl3461711361,Ghost Story,"$23,371,905",600,Dec 16,1981
rl2741798401,Rollover,"$10,851,261",755,Dec 11,1981
rl4199253505,Cinderella,"$28,040,000","1,050",Dec 18,1981
rl2320795137,On Golden Pond,"$119,285,432","1,015",Dec 4,1981
rl4285171201,Ragtime,"$14,920,781",447,Nov 20,1981
rl508265985,Chariots of Fire,"$58,972,904",810,Sep 25,1981
rl995132929,E.T. the Extra-Terrestrial,"$359,197,037","1,778",Jun 11,1982
rl423790081,An Officer and a Gentleman,"$129,795,554","1,050",Jul 30,1982
rl645367297,Tootsie,"$177,200,000","1,222",Dec 17,1982
rl1433896449,The Toy,"$47,118,057","1,542",Dec 10,1982
rl4030825985,48 Hrs.,"$78,868,508","1,050",Dec 10,1982
rl2252375553,Airplane II: The Sequel,"$27,150,534","1,300",Dec 10,1982
rl340559361,The Dark Crystal,"$40,577,001","1,052",Dec 17,1982
rl2537850369,Best Friends,"$36,821,203","1,080",Dec 17,1982
rl1870235137,The Verdict,"$53,977,250",904,Dec 10,1982
rl1550353921,Peter Pan,"$17,200,000",800,Dec 17,1982
rl191071745,The Man from Snowy River,"$20,659,423",517,Nov 5,1982
rl1131906561,Trail of the Pink Panther,"$9,056,073",806,Dec 17,1982
rl575178241,They Call Me Bruce,"$16,894,678",324,Nov 12,1982
rl2606532097,Kiss Me Goodbye,"$15,782,759",803,Dec 24,1982
rl3544286721,Six Weeks,"$6,668,025",613,Dec 17,1982
rl2456847873,Sophie's Choice,"$30,036,000",548,Dec 10,1982
rl3797255681,Gandhi,"$52,767,889",825,Dec 10,1982
rl2792588801,Star Wars: Episode VI - Return of the Jedi,"$252,583,617","1,764",May 25,1983
rl407340545,The Big Chill,"$56,342,711",832,Sep 30,1983
rl3111290369,Sudden Impact,"$67,642,693","1,602",Dec 9,1983
rl3245704705,Terms of Endearment,"$108,423,489","1,259",Nov 23,1983
rl4251944449,Scarface,"$44,668,798","1,008",Dec 9,1983
rl1366984193,A Christmas Story,"$19,294,144",938,Nov 18,1983
rl3078260225,Yentl,"$40,218,899",747,Nov 18,1983
rl644646401,The Right Stuff,"$21,192,102",627,Oct 21,1983
rl3141633537,Two of a Kind,"$23,646,952","1,278",Dec 16,1983
rl2672526849,Christine,"$21,017,849","1,101",Dec 9,1983
rl2826339841,Uncommon Valor,"$30,503,151","1,076",Dec 16,1983
rl2037220865,The Rescuers,"$21,000,000","1,040",Dec 16,1983
rl275809793,The Smurfs and the Magic Flute,"$11,234,220",432,Oct 7,1983
rl1162642945,D.C. Cab,"$16,134,627",908,Dec 16,1983
rl1450280449,Silkwood,"$35,615,609",843,Dec 16,1983
rl962037249,Gorky Park,"$15,856,028",631,Dec 16,1983
rl3379856897,To Be or Not to Be,"$13,030,214",645,Dec 16,1983
rl2053342721,The Man Who Loved Women,"$10,964,231",845,Dec 16,1983
rl3630466561,Never Cry Wolf,"$29,600,000",540,Oct 7,1983
rl3696592385,Ghostbusters,"$229,242,989","1,506",Jun 8,1984
rl3880027649,Beverly Hills Cop,"$234,760,478","2,006",Dec 5,1984
rl3480585729,The Terminator,"$38,371,200","1,112",Oct 26,1984
rl3647505921,Places in the Heart,"$34,901,614",868,Sep 21,1984
rl1782679041,2010,"$40,400,657","1,213",Dec 7,1984
rl3729491457,City Heat,"$38,348,988","1,655",Dec 7,1984
rl1398965761,Missing in Action,"$22,812,411","1,209",Nov 16,1984
rl1902544385,"Oh, God! You Devil","$21,538,850","1,384",Nov 9,1984
rl3629024769,Dune,"$30,925,690",975,Dec 14,1984
rl1735427585,A Soldier's Story,"$21,821,347",581,Sep 14,1984
rl1866696193,Amadeus,"$51,564,280",802,Sep 21,1984
rl1885832705,Night of the Comet,"$14,418,922","1,098",Nov 16,1984
rl4252141057,Supergirl,"$14,296,438","1,620",Nov 21,1984
rl1165198849,Starman,"$28,744,356","1,271",Dec 14,1984
rl2204665345,Pinocchio,"$26,414,038","1,309",Dec 21,1984
